date,home,away,home_goals,away_goals,neutral,tournament,home_elo,away_elo
2010-03-03,Germany,Argentina,0,1,False,Friendly,1500.0,1516.5800528531277
2010-03-03,Georgia,Estonia,2,1,False,Friendly,1500.0,1500.0
2010-03-03,Hong Kong,Yemen,0,0,False,AFC Asian Cup qualification,1416.8936620182546,1499.9166381129676
2010-03-06,Venezuela,North Korea,2,1,False,Friendly,1490.1816143212363,1548.815293311562
2010-03-07,Niger,Benin,2,0,False,Friendly,1500.0,1461.6511691046712
2010-03-11,Padania,Provence,1,3,False,Friendly,1500.0,1500.0
2010-03-17,Mexico,North Korea,2,1,False,Friendly,1534.137483083232,1538.8546189886993
2010-03-20,Alderney,Jersey,0,3,False,Muratti Vase,1500.0,1500.0
2010-03-21,Iceland,Faroe Islands,2,0,False,Friendly,1501.7099735734362,1500.0
2010-03-21,Namibia,Botswana,0,0,False,Friendly,1502.0839600784357,1509.6860373401073
2010-03-24,Mexico,Iceland,0,0,True,Friendly,1542.559608232645,1514.0734072258024
2010-03-24,Martinique,Haiti,0,0,False,Friendly,1500.0,1500.0
2010-03-31,Chile,Venezuela,0,0,False,Friendly,1508.2900264265638,1500.1422886440992
2010-03-31,Paraguay,South Africa,1,1,False,Friendly,1500.0,1511.3965623584404
2010-04-03,Saint Kitts and Nevis,Guadeloupe,3,0,False,Friendly,1491.7099735734362,1508.2900264265638
2010-04-03,Occitania,Monaco,5,1,False,Friendly,1500.0,1500.0
2010-04-07,Japan,Serbia,0,3,False,Friendly,1519.488432984512,1518.9664045461202
2010-04-21,Honduras,Venezuela,0,1,False,Friendly,1504.3879722720555,1502.078965192968
2010-04-22,South Africa,North Korea,0,0,True,Friendly,1512.7864271148726,1530.4324938392863
2010-04-28,South Africa,Jamaica,2,0,True,Friendly,1513.2938854758881,1500.0
2010-05-05,Argentina,Haiti,4,0,False,Friendly,1527.8233136366414,1501.7099735734362
2010-05-05,Chile,Trinidad and Tobago,2,0,False,Friendly,1506.3533498776949,1500.0
2010-05-07,Mexico,Ecuador,0,0,True,Friendly,1541.7415417462362,1500.0
2010-05-08,Jersey,Guernsey,0,1,False,Muratti Vase,1530.73868063027,1500.0
2010-05-10,Mexico,Senegal,1,0,True,Friendly,1540.545870864148,1517.5649603601544
2010-05-12,Yemen,Malawi,1,0,False,Friendly,1498.9241086774432,1465.443241952834
2010-05-13,Mexico,Angola,1,0,True,Friendly,1549.8853900274864,1492.203343200976
2010-05-13,Germany,Malta,3,0,False,Friendly,1488.7567392164863,1487.856464437634
2010-05-15,Paraguay,North Korea,1,0,True,Friendly,1498.6101352435678,1529.9250354782707
2010-05-16,South Korea,Ecuador,2,0,False,Friendly,1552.2218842891134,1501.1956708820883
2010-05-16,Mexico,Chile,1,0,False,Friendly,1558.2402547327338,1518.5229733213562
2010-05-16,South Africa,Thailand,4,0,False,Friendly,1527.7202222330397,1471.7481104231942
2010-05-18,Yemen,Oman,0,1,False,Friendly,1506.2966132771064,1503.2362392358518
2010-05-19,Austria,Croatia,0,1,False,Friendly,1508.2900264265638,1511.7099735734362
2010-05-19,Belgium,Bulgaria,2,1,False,Friendly,1488.2900264265638,1489.6524795623397
2010-05-19,Gabon,Togo,3,0,True,Corsica Cup,1510.2602493656063,1500.0
2010-05-19,Corsica,Brittany,2,0,False,Corsica Cup,1500.0,1500.0
2010-05-20,Aruba,Venezuela,0,3,False,Friendly,1500.0,1513.8533798963679
2010-05-21,DR Congo,Saudi Arabia,0,2,True,Friendly,1486.5997598516976,1500.0
2010-05-21,Estonia,Finland,2,0,False,Friendly,1491.7099735734362,1496.4963355708317
2010-05-21,Brittany,Togo,2,1,False,Corsica Cup,1481.3474405402314,1474.5249732310624
2010-05-21,Corsica,Gabon,1,1,False,Corsica Cup,1518.6525594597686,1535.735276134544
2010-05-22,Turkey,Czech Republic,2,1,True,Friendly,1513.1769880880988,1491.7099735734362
2010-05-23,Croatia,Wales,2,0,False,Friendly,1523.324233361072,1488.68946523475
2010-05-24,Portugal,Cape Verde,0,0,False,Friendly,1515.071409395235,1500.0
2010-05-24,Japan,South Korea,0,2,False,Friendly,1498.9704605719924,1562.5852608438397
2010-05-24,South Africa,Bulgaria,1,1,False,Friendly,1540.4341053370686,1481.3243598710903
2010-05-24,Australia,New Zealand,2,1,False,Friendly,1514.1655342637205,1485.862516916768
2010-05-24,England,Mexico,3,1,False,Friendly,1518.9458143611091,1565.4464551833773
2010-05-24,Argentina,Canada,5,0,False,Friendly,1542.0189303423062,1491.7099735734362
2010-05-25,Armenia,Uzbekistan,3,1,False,Friendly,1485.0,1482.9591895938577
2010-05-25,Georgia,Cameroon,0,0,True,Friendly,1508.2900264265638,1493.1048111928542
2010-05-25,Greece,North Korea,2,2,True,Friendly,1482.4350396398456,1519.026152961854
2010-05-25,Republic of Ireland,Paraguay,2,1,False,Friendly,1485.0,1509.5090177599845
2010-05-25,Montenegro,Albania,0,1,False,Friendly,1491.7099735734362,1508.2900264265638
2010-05-25,Nigeria,Saudi Arabia,0,0,True,Friendly,1536.3347766034492,1514.4217518265725
2010-05-25,Ukraine,Lithuania,4,0,False,Friendly,1500.0,1500.0
2010-05-25,United States,Czech Republic,2,4,False,Friendly,1483.1738924894103,1482.3270588490548
2010-05-26,Uruguay,Israel,4,1,False,Friendly,1517.5649603601544,1517.5649603601544
2010-05-26,Northern Ireland,Turkey,0,2,True,Friendly,1491.7099735734362,1522.5599028124802
2010-05-26,Netherlands,Mexico,2,1,True,Friendly,1508.0458058758347,1551.028976262732
2010-05-26,France,Costa Rica,2,1,False,Friendly,1482.4350396398456,1491.7099735734362
2010-05-26,Estonia,Croatia,0,0,False,Friendly,1504.3460757096811,1534.336652235637
2010-05-26,Chile,Zambia,3,0,False,Friendly,1511.3167728707126,1515.4040104175212
2010-05-26,Azerbaijan,Moldova,1,1,True,Friendly,1528.8846197738549,1510.0
2010-05-27,Belarus,Honduras,2,2,True,Friendly,1515.0,1492.6135575686558
2010-05-27,Denmark,Senegal,2,0,False,Friendly,1491.7099735734362,1508.2254411968158
2010-05-27,South Africa,Colombia,2,1,False,Friendly,1537.1341307244427,1500.0
2010-05-28,Republic of Ireland,Algeria,3,0,False,Friendly,1493.9820257690646,1450.2152306570317
2010-05-29,Venezuela,Canada,1,1,False,Friendly,1533.6641687567571,1477.854770803805
2010-05-29,United States,Turkey,2,1,False,Friendly,1465.573455278348,1536.2314936339983
2010-05-29,Ukraine,Romania,3,2,False,Friendly,1515.543799549807,1482.4350396398456
2010-05-29,Sweden,Bosnia and Herzegovina,4,2,False,Friendly,1525.5144991794202,1508.9831944317484
2010-05-29,Spain,Saudi Arabia,3,2,True,Friendly,1517.5649603601544,1515.0516244061193
2010-05-29,Slovakia,Cameroon,1,1,True,Friendly,1488.2900264265638,1493.5415987297067
2010-05-29,Moldova,United Arab Emirates,2,3,True,Friendly,1510.5430084020725,1529.475850045988
2010-05-29,Norway,Montenegro,2,1,False,Friendly,1511.7099735734362,1480.4667127899224
2010-05-29,New Zealand,Serbia,1,0,True,Friendly,1478.3507354325054,1539.4843769586398
2010-05-29,Iceland,Andorra,4,0,False,Friendly,1514.891473712211,1500.0
2010-05-29,Hungary,Germany,0,3,False,Friendly,1498.2900264265638,1503.2202849941173
2010-05-29,Azerbaijan,North Macedonia,1,3,True,Friendly,1528.3416113717824,1508.2900264265638
2010-05-29,Poland,Finland,0,0,False,Friendly,1561.7799446144197,1483.8602334345867
2010-05-30,Tunisia,France,1,1,False,Friendly,1493.9082665853057,1490.985340649751
2010-05-30,Paraguay,Ivory Coast,2,2,True,Friendly,1500.52699199092,1514.4957337174442
2010-05-30,Nigeria,Colombia,1,1,True,Friendly,1535.7049040239024,1492.7251122654463
2010-05-30,Mexico,Gambia,5,1,True,Friendly,1539.798094536692,1511.7099735734362
2010-05-30,Japan,England,1,2,True,Friendly,1484.1265184139252,1533.3632932817545
2010-05-30,Chile,Israel,3,0,False,Friendly,1526.0245632956394,1503.0574141136676
2010-05-30,Chile,Northern Ireland,1,0,False,Friendly,1539.423250961424,1478.038382751918
2010-05-30,Belarus,South Korea,1,0,True,Friendly,1514.3565565981075,1577.429203001907
2010-05-30,Grenada,Martinique,2,2,False,Friendly,1500.0,1498.2900264265638
2010-05-31,South Africa,Guatemala,5,0,False,Friendly,1544.4090184589963,1509.747211063739
2010-05-31,Gozo,Padania,1,2,False,Viva World Cup,1500.0,1482.4350396398456
2010-05-31,Iraqi Kurdistan,Two Sicilies,4,1,True,Viva World Cup,1500.0,1500.0
2010-06-01,Occitania,Padania,0,1,True,Viva World Cup,1515.543799549807,1500.7292409205018
2010-06-01,Provence,Two Sicilies,0,1,True,Viva World Cup,1517.5649603601544,1473.75
2010-06-01,Portugal,Cameroon,3,1,False,Friendly,1512.9436905546586,1493.3904578386923
2010-06-01,Netherlands,Ghana,4,1,False,Friendly,1519.2766876018748,1515.5668515040186
2010-06-01,Australia,Denmark,1,0,True,Friendly,1521.6773157479831,1504.84233719287
2010-06-01,Switzerland,Costa Rica,0,1,False,Friendly,1482.4350396398456,1483.1596725635309
2010-06-02,Serbia,Poland,0,0,True,Friendly,1527.7427464044054,1558.0064549122553
2010-06-02,Albania,Andorra,1,0,False,Friendly,1519.5332872100776,1485.2302008605686
2010-06-02,Azerbaijan,Honduras,0,0,True,Friendly,1512.4768747365129,1493.2570009705482
2010-06-02,Belarus,Sweden,0,1,False,Friendly,1526.15225024602,1537.2627997044428
2010-06-02,Greece,Paraguay,0,2,True,Friendly,1483.484339858196,1500.9288282021973
2010-06-02,Norway,Ukraine,0,1,False,Friendly,1519.142536205456,1522.9262776510598
2010-06-02,Romania,North Macedonia,0,1,True,Friendly,1475.052561538593,1524.1547630618334
2010-06-02,Zimbabwe,Brazil,0,3,False,Friendly,1473.8038103689496,1515.0
2010-06-02,Gozo,Occitania,0,5,False,Viva World Cup,1481.7057987193439,1499.9045909845734
2010-06-02,Iraqi Kurdistan,Provence,3,2,True,Viva World Cup,1526.25,1500.6832810784701
2010-06-03,Spain,South Korea,1,0,True,Friendly,1527.4926219982092,1565.6335093539944
2010-06-03,Italy,Mexico,1,2,True,Friendly,1499.7956883879697,1557.0355612148694
2010-06-03,Germany,Bosnia and Herzegovina,3,1,False,Friendly,1523.4710974477096,1497.2348939067258
2010-06-04,Iraqi Kurdistan,Occitania,2,1,True,Viva World Cup,1540.1481840885997,1533.4966818479752
2010-06-04,Gozo,Provence,2,1,False,Viva World Cup,1448.113707855942,1486.7850969898705
2010-06-04,Sudan,Palestine,1,1,False,Friendly,1500.0,1500.0
2010-06-04,Padania,Two Sicilies,2,0,True,Viva World Cup,1516.3684494857355,1490.6316792816842
2010-06-04,Luxembourg,Faroe Islands,0,0,False,Friendly,1488.787703345068,1487.6365663476338
2010-06-04,Japan,Ivory Coast,0,2,True,Friendly,1475.534255400953,1514.0938975061667
2010-06-04,France,China,0,1,True,Friendly,1492.7768636278104,1546.5826141032123
2010-06-04,Slovenia,New Zealand,3,1,False,Friendly,1514.4240059277606,1490.0923659867399
2010-06-05,Iraqi Kurdistan,Padania,0,1,True,Viva World Cup,1554.8610507315095,1537.2047728760153
2010-06-05,South Africa,Denmark,1,0,False,Friendly,1559.0907971481806,1495.326507959928
2010-06-05,Occitania,Two Sicilies,2,0,True,Viva World Cup,1518.7838152050654,1469.7953558914044
2010-06-05,Switzerland,Italy,1,1,False,Friendly,1470.7453200232194,1491.428438752381
2010-06-05,Slovakia,Costa Rica,3,0,False,Friendly,1488.4411673175782,1494.8493921801573
2010-06-05,Algeria,United Arab Emirates,1,0,True,Friendly,1437.7918106896554,1538.9314578098092
2010-06-05,Romania,Honduras,3,0,True,Friendly,1466.4565017453033,1493.8096297991137
2010-06-05,Netherlands,Hungary,6,1,False,Friendly,1533.6031742360542,1478.0392139729715
2010-06-05,Ghana,Latvia,1,0,True,Friendly,1501.2403648698391,1491.8403180648788
2010-06-05,Australia,United States,1,3,True,Friendly,1531.1931449809251,1475.8801220925848
2010-06-05,Serbia,Cameroon,4,3,False,Friendly,1528.6116095814625,1481.7662561990194
2010-06-06,Nigeria,North Korea,3,1,True,Friendly,1534.4741180693948,1517.9768527435035
2010-06-07,Tanzania,Brazil,1,5,False,Friendly,1476.909009221865,1533.4462063611654
