id,name,team,ip,runs,gs,so,bb,hr
660787,Yerry De los Santos,New York Yankees,8.666666666666666,5,0,7,4,1
686973,Louis Varland,Toronto Blue Jays,50.0,11,0,68,13,1
623352,Josh Hader,Houston Astros,16.333333333333332,2,0,28,8,1
683409,Angel Chivilli,New York Yankees,7.666666666666667,2,0,8,3,1
695001,Alimber Santa,Houston Astros,15.333333333333334,6,0,9,6,1
682989,Victor Mederos,Atlanta Braves,7.0,1,0,6,1,0
702153,Brian Fitzpatrick,Milwaukee Brewers,6.666666666666667,2,0,5,3,0
661395,Jhoan Duran,Philadelphia Phillies,32.666666666666664,6,0,50,6,1
621097,Jacob Waguespack,Detroit Tigers,13.0,2,0,9,4,2
592155,Cam Booser,Tampa Bay Rays,19.0,3,0,24,4,3
621345,A.J. Minter,New York Mets,19.0,5,0,17,1,2
605218,Carl Edwards Jr.,New York Mets,6.0,1,0,11,4,1
701121,Logan VanWey,Houston Astros,6.0,2,0,5,0,0
687396,Brent Headrick,New York Yankees,47.333333333333336,9,0,54,17,2
656641,Jacob Latz,Texas Rangers,46.0,8,1,47,11,3
643511,Tyler Rogers,Toronto Blue Jays,44.666666666666664,15,0,23,13,0
694819,Jacob Misiorowski,Milwaukee Brewers,111.0,27,18,167,27,9
669276,Dylan Lee,Atlanta Braves,43.666666666666664,9,0,54,7,1
694795,Josh Ekness,Miami Marlins,5.333333333333333,1,0,5,5,0
641329,Bryan Baker,Tampa Bay Rays,36.333333333333336,7,0,41,11,2
670059,Colin Holderman,Cleveland Guardians,36.333333333333336,8,0,40,12,1
660271,Shohei Ohtani,Los Angeles Dodgers,85.66666666666667,21,14,95,26,4
675512,Troy Melton,Detroit Tigers,55.0,12,9,50,15,7
805299,Brandyn Garcia,Arizona Diamondbacks,24.666666666666668,5,0,28,6,0
676962,Ben Brown,Chicago Cubs,68.0,16,8,65,19,2
675916,James Karinchak,Atlanta Braves,9.666666666666666,2,0,8,5,1
689149,Chad Dallas,Toronto Blue Jays,4.666666666666667,1,0,3,2,0
677976,Randy Dobnak,Kansas City Royals,14.0,3,1,7,8,2
656529,Sam Hentges,San Francisco Giants,18.666666666666668,5,0,22,16,0
548384,Brooks Raley,New York Mets,35.666666666666664,11,0,37,14,2
596133,Luke Weaver,New York Mets,40.0,10,0,43,11,3
669084,DL Hall,Milwaukee Brewers,31.0,7,1,32,24,1
573009,Joe Mantiply,Toronto Blue Jays,17.666666666666668,4,0,16,4,1
693645,Cam Schlittler,New York Yankees,118.66666666666667,34,20,137,25,12
547973,Aroldis Chapman,Boston Red Sox,30.666666666666668,8,0,38,14,1
519242,Chris Sale,Atlanta Braves,105.0,29,18,123,25,8
676477,Garrett Whitlock,Boston Red Sox,35.0,9,0,38,6,3
687239,Ben Peoples,Texas Rangers,4.333333333333333,1,0,3,0,1
640448,Kyle Finnegan,Detroit Tigers,42.666666666666664,10,0,32,25,4
554430,Zack Wheeler,Philadelphia Phillies,93.0,22,15,108,22,10
642528,Jonathan Loáisiga,Arizona Diamondbacks,38.0,10,0,27,9,1
642100,Gabe Speier,Seattle Mariners,25.333333333333332,8,0,20,9,3
628452,Raisel Iglesias,Atlanta Braves,33.333333333333336,10,0,37,7,2
702303,Riley Martin,Chicago Cubs,8.333333333333334,2,1,10,2,1
622088,Tejay Antone,Cincinnati Reds,29.0,9,0,26,7,3
621112,Paul Blackburn,New York Yankees,49.666666666666664,13,2,37,16,4
699134,Bradgley Rodriguez,San Diego Padres,41.333333333333336,14,3,38,15,2
518585,Fernando Cruz,New York Yankees,41.0,12,0,51,22,2
663542,Bryan Hudson,Chicago White Sox,41.0,12,6,39,16,1
681911,Alex Vesia,Los Angeles Dodgers,32.666666666666664,8,0,45,22,0
594027,Tyron Guerrero,Boston Red Sox,20.333333333333332,8,0,24,2,2
595345,Steven Okert,Houston Astros,48.666666666666664,13,1,50,12,5
681895,Evan Sisk,Pittsburgh Pirates,36.333333333333336,9,0,43,13,2
663738,Daniel Lynch IV,Kansas City Royals,40.333333333333336,13,0,33,12,2
593974,Wandy Peralta,San Diego Padres,48.333333333333336,12,4,31,19,3
666974,Yennier Cano,Baltimore Orioles,32.0,11,0,28,8,1
671109,Jake Eder,Los Angeles Dodgers,4.0,1,0,1,1,0
642759,Julian Fernández,Washington Nationals,4.0,3,0,3,2,1
687941,Alec Gamboa,Boston Red Sox,8.0,2,0,5,4,1
682243,Bryce Miller,Seattle Mariners,63.333333333333336,19,10,71,10,9
689266,Dylan Dodd,Atlanta Braves,27.666666666666668,7,0,29,9,3
683618,Edgardo Henriquez,Los Angeles Dodgers,39.333333333333336,16,0,37,15,1
593958,Eduardo Rodriguez,Arizona Diamondbacks,114.0,31,19,79,39,12
687330,Kevin Kelly,Tampa Bay Rays,46.333333333333336,14,0,34,8,4
660825,Eduard Bazardo,Seattle Mariners,42.333333333333336,13,0,41,13,3
687562,Jake Bennett,Boston Red Sox,53.666666666666664,14,9,38,9,3
801434,Paul Gervase,Los Angeles Dodgers,7.666666666666667,2,0,8,5,0
689147,Orion Kerkering,Philadelphia Phillies,38.0,11,0,42,20,3
641302,Tyler Alexander,Texas Rangers,41.666666666666664,13,3,38,11,2
666711,Joel Peguero,San Francisco Giants,11.333333333333334,5,0,5,4,0
605280,Clay Holmes,New York Mets,52.666666666666664,14,9,45,18,3
663423,Trent Thornton,Chicago Cubs,30.0,9,0,13,10,4
694361,Will Klein,Los Angeles Dodgers,37.333333333333336,13,2,43,16,2
682842,Abner Uribe,Milwaukee Brewers,40.666666666666664,11,0,39,15,3
671106,Logan Allen,Cleveland Guardians,7.333333333333333,5,1,10,4,0
621107,Zach Eflin,Baltimore Orioles,3.6666666666666665,1,1,7,2,1
690990,Cade Horton,Chicago Cubs,7.333333333333333,2,2,4,2,1
656794,Sean Newcomb,Chicago White Sox,55.0,17,1,53,19,1
667463,John King,Miami Marlins,40.0,11,1,30,10,4
656945,Tanner Scott,Los Angeles Dodgers,39.666666666666664,11,0,51,5,4
592094,Jason Adam,San Diego Padres,32.333333333333336,9,0,22,8,5
664199,Taylor Clarke,Arizona Diamondbacks,42.666666666666664,14,0,23,9,4
543243,Sonny Gray,Boston Red Sox,95.66666666666667,28,17,85,24,10
695505,Chase Burns,Cincinnati Reds,102.66666666666667,29,18,118,37,12
656302,Dylan Cease,Toronto Blue Jays,98.33333333333333,31,17,148,44,5
690978,Dax Fulton,Miami Marlins,7.0,2,0,6,3,0
670329,Rico Garcia,Baltimore Orioles,42.0,14,0,43,14,5
800311,Didier Fuentes,Atlanta Braves,38.333333333333336,11,1,46,12,1
804267,Zach Thornton,New York Mets,17.333333333333332,5,3,15,5,1
