date,match_num,home,away,market,selection,line,odds,edge,source,close_odds,result,pl
2026-06-23,45,Colombia,DR Congo,BTTS,否,,,,,,pending,
2026-06-23,45,Colombia,DR Congo,AH,主,-0.75,,,,,pending,
2026-06-27,68,Colombia,Portugal,1X2,home,,,,,,pending,
2026-06-27,68,Colombia,Portugal,OU,小,2.5,,,,,pending,
2026-06-27,68,Colombia,Portugal,AH,客,-0.5,,,,,pending,
2026-06-27,70,DR Congo,Uzbekistan,1X2,draw,,,,,,pending,
2026-06-27,70,DR Congo,Uzbekistan,OU,小,2.5,,,,,pending,
2026-06-27,70,DR Congo,Uzbekistan,BTTS,否,,,,,,pending,
2026-06-27,70,DR Congo,Uzbekistan,AH,主,-0.0,,,,,pending,
2026-06-17,21,England,Croatia,1X2,home,,,,,,win,
2026-06-17,21,England,Croatia,OU,小,2.5,,,,,loss,
2026-06-17,21,England,Croatia,BTTS,否,,,,,,loss,
2026-06-17,21,England,Croatia,AH,主,-0.75,,,,,win,
2026-06-17,22,Ghana,Panama,1X2,away,,,,,,loss,
2026-06-17,22,Ghana,Panama,OU,小,2.5,,,,,win,
2026-06-17,22,Ghana,Panama,AH,主,0.5,,,,,win,
2026-06-23,46,England,Ghana,1X2,home,,,,,,pending,
2026-06-23,46,England,Ghana,OU,小,2.5,,,,,pending,
2026-06-23,46,England,Ghana,BTTS,否,,,,,,pending,
2026-06-23,46,England,Ghana,AH,主,-1.75,,,,,pending,
2026-06-23,47,Panama,Croatia,1X2,away,,,,,,pending,
2026-06-23,47,Panama,Croatia,OU,小,2.5,,,,,pending,
2026-06-23,47,Panama,Croatia,AH,客,0.75,,,,,pending,
2026-06-27,72,Panama,England,1X2,away,,,,,,pending,
2026-06-27,72,Panama,England,OU,小,2.5,,,,,pending,
2026-06-27,72,Panama,England,BTTS,否,,,,,,pending,
2026-06-27,72,Panama,England,AH,主,1.25,,,,,pending,
2026-06-27,69,Croatia,Ghana,1X2,home,,,,,,pending,
2026-06-27,69,Croatia,Ghana,OU,小,2.5,,,,,pending,
2026-06-27,69,Croatia,Ghana,BTTS,否,,,,,,pending,
2026-06-27,69,Croatia,Ghana,AH,客,-1.0,,,,,pending,
2026-06-24,49,Bosnia and Herzegovina,Qatar,AH,客,-1.0,,,,,pending,
2026-06-24,52,Scotland,Brazil,AH,主,1.0,,,,,pending,
2026-06-24,51,Morocco,Haiti,AH,主,-1.75,,,,,pending,
2026-06-25,58,Paraguay,Australia,AH,客,0.0,,,,,pending,
2026-06-20,35,Netherlands,Sweden,AH,客,-1.25,,,,,loss,
2026-06-26,62,Egypt,Iran,AH,客,0.0,,,,,pending,
2026-06-26,63,New Zealand,Belgium,OU,大,2.5,,,,,pending,
2026-06-21,39,Spain,Saudi Arabia,OU,大,2.5,,,,,pending,
2026-06-21,40,Uruguay,Cape Verde,AH,主,-0.75,,,,,pending,
2026-06-26,61,Cape Verde,Saudi Arabia,1X2,draw,,,,,,pending,
2026-06-22,43,Jordan,Algeria,AH,客,1.0,,,,,pending,
